                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73472,                 1.0232,                 1.1145,                0.90265,                0.88107,                0.92202,                 0.7644,                0.82611,                0.54966,                 1.0938,              0.0001125,              0.0001125,              0.0001125
                      2,                0.72041,                0.71899,                 1.0935,                0.76922,                0.78418,                0.83786,                0.67845,                0.88162,                0.93344,                 1.1393,             0.00023656,             0.00023656,             0.00023656
                      3,                0.67345,                0.66175,                 1.0405,                0.69814,                0.77263,                0.82004,                0.63937,                0.95372,                0.92621,                  1.184,             0.00035963,             0.00035963,             0.00035963
                      4,                  0.702,                0.62509,                 1.0367,                0.87499,                0.74261,                0.84269,                0.65741,                0.95478,                0.70963,                 1.1618,             0.00048171,             0.00048171,             0.00048171
                      5,                 0.7219,                 0.6636,                 1.0619,                0.93573,                  0.825,                0.88944,                0.70865,                0.85373,                0.66027,                 1.1078,              0.0006028,              0.0006028,              0.0006028
                      6,                0.71857,                0.57626,                 1.0206,                 0.7733,                0.75313,                0.84686,                0.67654,                0.88516,                0.79259,                  1.122,              0.0007229,              0.0007229,              0.0007229
                      7,                0.72513,                0.61269,                 1.0435,                0.82195,                 0.8448,                0.89112,                0.67148,                0.98484,                0.69278,                 1.1763,             0.00084201,             0.00084201,             0.00084201
                      8,                0.65788,                0.59953,                 1.0046,                 0.7549,                0.85846,                0.87549,                0.64057,                 1.0692,                0.77643,                 1.2309,             0.00096013,             0.00096013,             0.00096013
                      9,                0.69821,                0.56231,                0.99163,                0.86011,                 0.7923,                0.90139,                0.61465,                 1.0504,                0.69709,                 1.2137,              0.0010773,              0.0010773,              0.0010773
                     10,                0.66502,                0.54423,                0.99179,                0.74822,                0.85242,                0.87495,                0.64129,                0.99284,                0.70584,                 1.1648,              0.0011934,              0.0011934,              0.0011934
                     11,                 0.6663,                0.55824,                0.98276,                0.85142,                0.85355,                0.90714,                0.69401,                0.95274,                0.63978,                 1.1392,              0.0012005,              0.0012005,              0.0012005
