                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60456,                0.47635,                0.98688,                0.93714,                0.78973,                0.86655,                0.68657,                0.89285,                0.69424,                  1.146,              0.0010817,              0.0010817,              0.0010817
                     37,                0.54823,                0.41149,                0.91829,                0.81431,                0.81237,                 0.8582,                0.68907,                0.89651,                0.71653,                 1.1281,              0.0010768,              0.0010768,              0.0010768
                     38,                0.55589,                0.44967,                0.94131,                0.87093,                0.77592,                0.84047,                0.64065,                0.97872,                0.75261,                 1.1595,              0.0010718,              0.0010718,              0.0010718
                     39,                0.54778,                0.42756,                0.94112,                0.86275,                0.78092,                0.85417,                0.63478,                0.99319,                0.72058,                 1.1657,              0.0010669,              0.0010669,              0.0010669
                     40,                0.57113,                0.43353,                0.93584,                0.86404,                0.79186,                0.87726,                0.67881,                0.97539,                0.73728,                 1.1852,              0.0010619,              0.0010619,              0.0010619
                     41,                0.61066,                0.47369,                0.96124,                0.83972,                0.81415,                 0.8614,                0.66855,                0.96036,                0.75332,                 1.1878,               0.001057,               0.001057,               0.001057
                     42,                0.54857,                0.44028,                0.93767,                0.89887,                0.82867,                0.89592,                0.67025,                0.97162,                0.70934,                 1.2101,               0.001052,               0.001052,               0.001052
                     43,                0.58291,                0.46181,                0.96842,                0.79515,                0.86372,                0.89548,                0.67179,                0.94754,                0.66832,                 1.1867,               0.001047,               0.001047,               0.001047
                     44,                 0.5725,                0.43635,                0.93197,                0.93698,                0.73541,                0.87254,                0.67766,                0.89583,                 0.7364,                 1.1631,              0.0010421,              0.0010421,              0.0010421
                     45,                0.57374,                0.45581,                0.97357,                0.88497,                0.78506,                0.88895,                0.72448,                0.87744,                0.69205,                 1.1516,              0.0010372,              0.0010372,              0.0010372
                     46,                0.53357,                0.45652,                0.96089,                 0.7367,                0.69489,                0.75515,                0.60967,                0.96832,                 1.0097,                 1.1792,              0.0010322,              0.0010322,              0.0010322
                     47,                0.56866,                0.45504,                0.94405,                0.77914,                0.61041,                 0.6892,                0.56956,                0.97757,                 1.0756,                 1.1948,              0.0010273,              0.0010273,              0.0010273
                     48,                0.57341,                0.42674,                0.94468,                0.88525,                0.47916,                0.56304,                 0.4486,                 1.1201,                 1.4397,                 1.3213,              0.0010223,              0.0010223,              0.0010223
                     49,                0.56943,                0.46364,                0.94229,                0.87754,                0.46983,                0.56541,                0.44422,                 1.1122,                 1.2776,                 1.3089,              0.0010173,              0.0010173,              0.0010173
